mH_GeV 	H_gg 	    H_gamgam 	H_Zgam  	H_WW 	    H_ZZ 	    Total_Width_GeV
100.0 	7.37E-02	1.58E-03	4.93E-05	1.10E-02	1.12E-03	2.48E-03
101.0 	7.49E-02	1.61E-03	6.67E-05	1.29E-02	1.26E-03	2.51E-03
102.0 	7.61E-02	1.65E-03	8.74E-05	1.52E-02	1.43E-03	2.54E-03
103.0 	7.73E-02	1.69E-03	1.12E-04	1.78E-02	1.63E-03	2.58E-03
104.0 	7.84E-02	1.73E-03	1.40E-04	2.07E-02	1.86E-03	2.61E-03
105.0 	7.95E-02	1.77E-03	1.71E-04	2.41E-02	2.13E-03	2.64E-03
106.0 	8.06E-02	1.80E-03	2.07E-04	2.78E-02	2.45E-03	2.68E-03
107.0 	8.16E-02	1.84E-03	2.47E-04	3.20E-02	2.83E-03	2.72E-03
108.0 	8.26E-02	1.88E-03	2.91E-04	3.67E-02	3.26E-03	2.76E-03
109.0 	8.36E-02	1.92E-03	3.39E-04	4.19E-02	3.76E-03	2.80E-03
110.0 	8.44E-02	1.95E-03	3.91E-04	4.77E-02	4.34E-03	2.85E-03
110.5 	8.48E-02	1.97E-03	4.19E-04	5.08E-02	4.66E-03	2.87E-03
111.0 	8.52E-02	1.99E-03	4.47E-04	5.41E-02	5.01E-03	2.89E-03
111.5 	8.56E-02	2.00E-03	4.77E-04	5.75E-02	5.37E-03	2.92E-03
112.0 	8.60E-02	2.02E-03	5.07E-04	6.10E-02	5.76E-03	2.95E-03
112.5 	8.63E-02	2.04E-03	5.39E-04	6.48E-02	6.18E-03	2.97E-03
113.0 	8.66E-02	2.05E-03	5.71E-04	6.86E-02	6.62E-03	3.00E-03
113.5 	8.69E-02	2.07E-03	6.04E-04	7.27E-02	7.08E-03	3.03E-03
114.0 	8.72E-02	2.08E-03	6.39E-04	7.69E-02	7.57E-03	3.06E-03
114.5 	8.74E-02	2.10E-03	6.74E-04	8.13E-02	8.09E-03	3.09E-03
115.0 	8.76E-02	2.11E-03	7.10E-04	8.59E-02	8.64E-03	3.12E-03
115.5 	8.78E-02	2.13E-03	7.46E-04	9.06E-02	9.22E-03	3.15E-03
116.0 	8.80E-02	2.14E-03	7.84E-04	9.55E-02	9.83E-03	3.19E-03
116.5 	8.81E-02	2.15E-03	8.22E-04	1.01E-01	1.05E-02	3.22E-03
117.0 	8.82E-02	2.17E-03	8.61E-04	1.06E-01	1.11E-02	3.26E-03
117.5 	8.83E-02	2.18E-03	9.00E-04	1.11E-01	1.19E-02	3.30E-03
118.0 	8.83E-02	2.19E-03	9.41E-04	1.17E-01	1.26E-02	3.33E-03
118.5 	8.84E-02	2.20E-03	9.81E-04	1.23E-01	1.34E-02	3.38E-03
119.0 	8.84E-02	2.21E-03	1.02E-03	1.29E-01	1.42E-02	3.42E-03
119.5 	8.83E-02	2.22E-03	1.06E-03	1.35E-01	1.50E-02	3.46E-03
120.0 	8.82E-02	2.23E-03	1.11E-03	1.41E-01	1.59E-02	3.51E-03
120.1 	8.82E-02	2.23E-03	1.12E-03	1.43E-01	1.61E-02	3.52E-03
120.2 	8.82E-02	2.23E-03	1.12E-03	1.44E-01	1.62E-02	3.52E-03
120.3 	8.82E-02	2.23E-03	1.13E-03	1.45E-01	1.64E-02	3.53E-03
120.4 	8.82E-02	2.24E-03	1.14E-03	1.47E-01	1.66E-02	3.54E-03
120.5 	8.81E-02	2.24E-03	1.15E-03	1.48E-01	1.68E-02	3.55E-03
120.6 	8.81E-02	2.24E-03	1.16E-03	1.49E-01	1.70E-02	3.56E-03
120.7 	8.81E-02	2.24E-03	1.17E-03	1.51E-01	1.72E-02	3.57E-03
120.8 	8.81E-02	2.24E-03	1.18E-03	1.52E-01	1.73E-02	3.58E-03
120.9 	8.80E-02	2.24E-03	1.18E-03	1.53E-01	1.75E-02	3.59E-03
121.0 	8.80E-02	2.25E-03	1.19E-03	1.55E-01	1.77E-02	3.60E-03
121.1 	8.80E-02	2.25E-03	1.20E-03	1.56E-01	1.79E-02	3.61E-03
121.2 	8.79E-02	2.25E-03	1.21E-03	1.57E-01	1.81E-02	3.62E-03
121.3 	8.79E-02	2.25E-03	1.22E-03	1.59E-01	1.83E-02	3.63E-03
121.4 	8.79E-02	2.25E-03	1.23E-03	1.60E-01	1.85E-02	3.64E-03
121.5 	8.78E-02	2.25E-03	1.24E-03	1.61E-01	1.87E-02	3.65E-03
121.6 	8.78E-02	2.25E-03	1.24E-03	1.63E-01	1.89E-02	3.66E-03
121.7 	8.78E-02	2.25E-03	1.25E-03	1.64E-01	1.91E-02	3.67E-03
121.8 	8.77E-02	2.26E-03	1.26E-03	1.66E-01	1.93E-02	3.68E-03
121.9 	8.77E-02	2.26E-03	1.27E-03	1.67E-01	1.95E-02	3.69E-03
122.0 	8.76E-02	2.26E-03	1.28E-03	1.69E-01	1.97E-02	3.71E-03
122.1 	8.76E-02	2.26E-03	1.29E-03	1.70E-01	1.99E-02	3.72E-03
122.2 	8.75E-02	2.26E-03	1.30E-03	1.71E-01	2.01E-02	3.73E-03
122.3 	8.75E-02	2.26E-03	1.30E-03	1.73E-01	2.03E-02	3.74E-03
122.4 	8.74E-02	2.26E-03	1.31E-03	1.74E-01	2.05E-02	3.75E-03
122.5 	8.74E-02	2.26E-03	1.32E-03	1.76E-01	2.07E-02	3.76E-03
122.6 	8.73E-02	2.26E-03	1.33E-03	1.77E-01	2.10E-02	3.77E-03
122.7 	8.73E-02	2.26E-03	1.34E-03	1.79E-01	2.12E-02	3.78E-03
122.8 	8.72E-02	2.27E-03	1.35E-03	1.80E-01	2.14E-02	3.79E-03
122.9 	8.72E-02	2.27E-03	1.36E-03	1.82E-01	2.16E-02	3.81E-03
123.0 	8.71E-02	2.27E-03	1.36E-03	1.83E-01	2.18E-02	3.82E-03
123.1 	8.71E-02	2.27E-03	1.37E-03	1.85E-01	2.20E-02	3.83E-03
123.2 	8.70E-02	2.27E-03	1.38E-03	1.86E-01	2.22E-02	3.84E-03
123.3 	8.69E-02	2.27E-03	1.39E-03	1.88E-01	2.25E-02	3.85E-03
123.4 	8.69E-02	2.27E-03	1.40E-03	1.89E-01	2.27E-02	3.86E-03
123.5 	8.68E-02	2.27E-03	1.41E-03	1.91E-01	2.29E-02	3.88E-03
123.6 	8.68E-02	2.27E-03	1.42E-03	1.92E-01	2.31E-02	3.89E-03
123.7 	8.67E-02	2.27E-03	1.43E-03	1.94E-01	2.34E-02	3.90E-03
123.8 	8.66E-02	2.27E-03	1.44E-03	1.95E-01	2.36E-02	3.91E-03
123.9 	8.65E-02	2.27E-03	1.44E-03	1.97E-01	2.38E-02	3.93E-03
124.0 	8.65E-02	2.27E-03	1.45E-03	1.99E-01	2.41E-02	3.94E-03
124.1 	8.64E-02	2.28E-03	1.46E-03	2.00E-01	2.43E-02	3.95E-03
124.2 	8.63E-02	2.28E-03	1.47E-03	2.02E-01	2.45E-02	3.96E-03
124.3 	8.63E-02	2.28E-03	1.48E-03	2.03E-01	2.48E-02	3.98E-03
124.4 	8.62E-02	2.28E-03	1.49E-03	2.05E-01	2.50E-02	3.99E-03
124.5 	8.61E-02	2.28E-03	1.50E-03	2.06E-01	2.52E-02	4.00E-03
124.6 	8.60E-02	2.28E-03	1.50E-03	2.08E-01	2.55E-02	4.02E-03
124.7 	8.59E-02	2.28E-03	1.51E-03	2.10E-01	2.57E-02	4.03E-03
124.8 	8.59E-02	2.28E-03	1.52E-03	2.11E-01	2.59E-02	4.04E-03
124.9 	8.58E-02	2.28E-03	1.53E-03	2.13E-01	2.62E-02	4.06E-03
125.0 	8.57E-02	2.28E-03	1.54E-03	2.15E-01	2.64E-02	4.07E-03
125.1 	8.56E-02	2.28E-03	1.55E-03	2.16E-01	2.67E-02	4.08E-03
125.2 	8.55E-02	2.28E-03	1.56E-03	2.18E-01	2.69E-02	4.10E-03
125.3 	8.54E-02	2.28E-03	1.56E-03	2.19E-01	2.72E-02	4.11E-03
125.4 	8.53E-02	2.28E-03	1.57E-03	2.21E-01	2.74E-02	4.12E-03
125.5 	8.52E-02	2.28E-03	1.58E-03	2.23E-01	2.76E-02	4.14E-03
125.6 	8.52E-02	2.28E-03	1.59E-03	2.24E-01	2.79E-02	4.15E-03
125.7 	8.51E-02	2.28E-03	1.60E-03	2.26E-01	2.81E-02	4.17E-03
125.8 	8.50E-02	2.28E-03	1.61E-03	2.28E-01	2.84E-02	4.18E-03
125.9 	8.49E-02	2.28E-03	1.62E-03	2.29E-01	2.87E-02	4.20E-03
126.0 	8.48E-02	2.28E-03	1.62E-03	2.31E-01	2.89E-02	4.21E-03
126.1 	8.47E-02	2.28E-03	1.63E-03	2.33E-01	2.92E-02	4.23E-03
126.2 	8.46E-02	2.28E-03	1.64E-03	2.35E-01	2.94E-02	4.24E-03
126.3 	8.45E-02	2.28E-03	1.65E-03	2.36E-01	2.97E-02	4.26E-03
126.4 	8.44E-02	2.28E-03	1.66E-03	2.38E-01	2.99E-02	4.27E-03
126.5 	8.42E-02	2.28E-03	1.67E-03	2.40E-01	3.02E-02	4.29E-03
126.6 	8.42E-02	2.28E-03	1.68E-03	2.41E-01	3.04E-02	4.30E-03
126.7 	8.40E-02	2.28E-03	1.68E-03	2.43E-01	3.07E-02	4.32E-03
126.8 	8.39E-02	2.28E-03	1.69E-03	2.45E-01	3.10E-02	4.33E-03
126.9 	8.38E-02	2.27E-03	1.70E-03	2.47E-01	3.12E-02	4.35E-03
127.0 	8.37E-02	2.27E-03	1.71E-03	2.48E-01	3.15E-02	4.36E-03
127.1 	8.36E-02	2.27E-03	1.72E-03	2.50E-01	3.18E-02	4.38E-03
127.2 	8.35E-02	2.27E-03	1.73E-03	2.52E-01	3.20E-02	4.40E-03
127.3 	8.34E-02	2.27E-03	1.73E-03	2.54E-01	3.23E-02	4.41E-03
127.4 	8.32E-02	2.27E-03	1.74E-03	2.55E-01	3.26E-02	4.43E-03
127.5 	8.31E-02	2.27E-03	1.75E-03	2.57E-01	3.28E-02	4.45E-03
127.6 	8.30E-02	2.27E-03	1.76E-03	2.59E-01	3.31E-02	4.46E-03
127.7 	8.29E-02	2.27E-03	1.77E-03	2.61E-01	3.34E-02	4.48E-03
127.8 	8.28E-02	2.27E-03	1.77E-03	2.62E-01	3.36E-02	4.50E-03
127.9 	8.26E-02	2.27E-03	1.78E-03	2.64E-01	3.39E-02	4.51E-03
128.0 	8.25E-02	2.27E-03	1.79E-03	2.66E-01	3.42E-02	4.53E-03
128.1 	8.24E-02	2.27E-03	1.80E-03	2.68E-01	3.45E-02	4.55E-03
128.2 	8.23E-02	2.27E-03	1.81E-03	2.70E-01	3.47E-02	4.57E-03
128.3 	8.21E-02	2.26E-03	1.81E-03	2.71E-01	3.50E-02	4.58E-03
128.4 	8.20E-02	2.26E-03	1.82E-03	2.73E-01	3.53E-02	4.60E-03
128.5 	8.19E-02	2.26E-03	1.83E-03	2.75E-01	3.56E-02	4.62E-03
128.6 	8.17E-02	2.26E-03	1.84E-03	2.77E-01	3.58E-02	4.64E-03
128.7 	8.16E-02	2.26E-03	1.85E-03	2.79E-01	3.61E-02	4.65E-03
128.8 	8.15E-02	2.26E-03	1.85E-03	2.81E-01	3.64E-02	4.67E-03
128.9 	8.13E-02	2.26E-03	1.86E-03	2.82E-01	3.67E-02	4.69E-03
129.0 	8.12E-02	2.26E-03	1.87E-03	2.84E-01	3.70E-02	4.71E-03
129.1 	8.10E-02	2.26E-03	1.88E-03	2.86E-01	3.73E-02	4.73E-03
129.2 	8.09E-02	2.26E-03	1.89E-03	2.88E-01	3.75E-02	4.75E-03
129.3 	8.08E-02	2.25E-03	1.89E-03	2.90E-01	3.78E-02	4.77E-03
129.4 	8.06E-02	2.25E-03	1.90E-03	2.92E-01	3.81E-02	4.79E-03
129.5 	8.05E-02	2.25E-03	1.91E-03	2.93E-01	3.84E-02	4.81E-03
129.6 	8.03E-02	2.25E-03	1.92E-03	2.95E-01	3.87E-02	4.83E-03
129.7 	8.02E-02	2.25E-03	1.92E-03	2.97E-01	3.90E-02	4.85E-03
129.8 	8.00E-02	2.25E-03	1.93E-03	2.99E-01	3.93E-02	4.87E-03
129.9 	7.99E-02	2.25E-03	1.94E-03	3.01E-01	3.95E-02	4.89E-03
130.0 	7.97E-02	2.24E-03	1.95E-03	3.03E-01	3.98E-02	4.91E-03
130.5 	7.90E-02	2.24E-03	1.98E-03	3.12E-01	4.13E-02	5.01E-03
131.0 	7.82E-02	2.23E-03	2.02E-03	3.22E-01	4.28E-02	5.12E-03
131.5 	7.73E-02	2.22E-03	2.05E-03	3.31E-01	4.42E-02	5.23E-03
132.0 	7.65E-02	2.21E-03	2.09E-03	3.41E-01	4.57E-02	5.35E-03
132.5 	7.56E-02	2.19E-03	2.12E-03	3.51E-01	4.72E-02	5.48E-03
133.0 	7.47E-02	2.18E-03	2.15E-03	3.61E-01	4.87E-02	5.60E-03
133.5 	7.37E-02	2.17E-03	2.18E-03	3.70E-01	5.02E-02	5.74E-03
134.0 	7.28E-02	2.15E-03	2.21E-03	3.80E-01	5.17E-02	5.88E-03
134.5 	7.18E-02	2.14E-03	2.24E-03	3.90E-01	5.32E-02	6.03E-03
135.0 	7.08E-02	2.12E-03	2.27E-03	4.00E-01	5.47E-02	6.18E-03
135.5 	6.97E-02	2.11E-03	2.29E-03	4.10E-01	5.62E-02	6.34E-03
136.0 	6.87E-02	2.09E-03	2.32E-03	4.20E-01	5.77E-02	6.51E-03
136.5 	6.76E-02	2.07E-03	2.34E-03	4.31E-01	5.91E-02	6.69E-03
137.0 	6.65E-02	2.05E-03	2.36E-03	4.41E-01	6.06E-02	6.87E-03
137.5 	6.54E-02	2.03E-03	2.38E-03	4.51E-01	6.20E-02	7.06E-03
138.0 	6.43E-02	2.01E-03	2.40E-03	4.61E-01	6.34E-02	7.26E-03
138.5 	6.31E-02	1.99E-03	2.41E-03	4.71E-01	6.48E-02	7.47E-03
139.0 	6.20E-02	1.97E-03	2.43E-03	4.81E-01	6.61E-02	7.70E-03
139.5 	6.08E-02	1.95E-03	2.44E-03	4.91E-01	6.75E-02	7.93E-03
140.0 	5.96E-02	1.93E-03	2.45E-03	5.01E-01	6.87E-02	8.17E-03
140.5 	5.84E-02	1.90E-03	2.46E-03	5.11E-01	7.00E-02	8.43E-03
141.0 	5.72E-02	1.88E-03	2.47E-03	5.21E-01	7.12E-02	8.70E-03
141.5 	5.60E-02	1.85E-03	2.48E-03	5.31E-01	7.24E-02	8.98E-03
142.0 	5.48E-02	1.83E-03	2.48E-03	5.41E-01	7.35E-02	9.28E-03
142.5 	5.35E-02	1.80E-03	2.49E-03	5.51E-01	7.46E-02	9.59E-03
143.0 	5.23E-02	1.78E-03	2.49E-03	5.61E-01	7.56E-02	9.92E-03
143.5 	5.11E-02	1.75E-03	2.49E-03	5.71E-01	7.66E-02	1.03E-02
144.0 	4.98E-02	1.73E-03	2.49E-03	5.80E-01	7.75E-02	1.06E-02
144.5 	4.86E-02	1.70E-03	2.48E-03	5.90E-01	7.84E-02	1.10E-02
145.0 	4.73E-02	1.67E-03	2.48E-03	6.00E-01	7.92E-02	1.14E-02
145.5 	4.60E-02	1.64E-03	2.47E-03	6.10E-01	7.99E-02	1.19E-02
146.0 	4.48E-02	1.61E-03	2.46E-03	6.19E-01	8.06E-02	1.23E-02
146.5 	4.35E-02	1.58E-03	2.45E-03	6.29E-01	8.11E-02	1.28E-02
147.0 	4.22E-02	1.55E-03	2.43E-03	6.39E-01	8.16E-02	1.33E-02
147.5 	4.09E-02	1.52E-03	2.42E-03	6.48E-01	8.20E-02	1.39E-02
148.0 	3.97E-02	1.49E-03	2.40E-03	6.58E-01	8.23E-02	1.45E-02
148.5 	3.84E-02	1.46E-03	2.38E-03	6.68E-01	8.25E-02	1.51E-02
149.0 	3.71E-02	1.43E-03	2.36E-03	6.77E-01	8.26E-02	1.58E-02
149.5 	3.58E-02	1.39E-03	2.33E-03	6.87E-01	8.26E-02	1.65E-02
150.0 	3.46E-02	1.36E-03	2.31E-03	6.96E-01	8.25E-02	1.73E-02
152.0 	2.94E-02	1.22E-03	2.18E-03	7.35E-01	8.08E-02	2.11E-02
154.0 	2.43E-02	1.08E-03	2.01E-03	7.74E-01	7.66E-02	2.66E-02
156.0 	1.92E-02	9.14E-04	1.79E-03	8.16E-01	6.92E-02	3.51E-02
158.0 	1.38E-02	7.29E-04	1.50E-03	8.60E-01	5.76E-02	5.02E-02
160.0 	8.64E-03	5.32E-04	1.15E-03	9.08E-01	4.15E-02	8.31E-02
162.0 	5.04E-03	3.69E-04	8.41E-04	9.43E-01	2.82E-02	1.47E-01
164.0 	3.54E-03	2.59E-04	6.06E-04	9.57E-01	2.31E-02	2.15E-01
165.0 	3.14E-03	2.30E-04	5.45E-04	9.60E-01	2.22E-02	2.46E-01
166.0 	2.85E-03	2.08E-04	5.00E-04	9.62E-01	2.18E-02	2.76E-01
168.0 	2.46E-03	1.78E-04	4.39E-04	9.64E-01	2.22E-02	3.30E-01
170.0 	2.20E-03	1.58E-04	4.00E-04	9.64E-01	2.36E-02	3.80E-01
172.0 	2.02E-03	1.43E-04	3.71E-04	9.63E-01	2.61E-02	4.29E-01
174.0 	1.88E-03	1.32E-04	3.48E-04	9.60E-01	2.98E-02	4.77E-01
175.0 	1.81E-03	1.27E-04	3.38E-04	9.58E-01	3.23E-02	5.01E-01
176.0 	1.76E-03	1.22E-04	3.29E-04	9.55E-01	3.54E-02	5.25E-01
178.0 	1.66E-03	1.13E-04	3.12E-04	9.47E-01	4.44E-02	5.75E-01
180.0 	1.56E-03	1.05E-04	2.96E-04	9.32E-01	6.02E-02	6.31E-01
182.0 	1.44E-03	9.68E-05	2.76E-04	9.03E-01	9.00E-02	7.00E-01
184.0 	1.32E-03	8.81E-05	2.54E-04	8.62E-01	1.31E-01	7.88E-01
185.0 	1.27E-03	8.43E-05	2.44E-04	8.44E-01	1.50E-01	8.32E-01
186.0 	1.23E-03	8.09E-05	2.36E-04	8.28E-01	1.66E-01	8.76E-01
188.0 	1.15E-03	7.52E-05	2.22E-04	8.03E-01	1.91E-01	9.60E-01
190.0 	1.09E-03	7.05E-05	2.11E-04	7.86E-01	2.09E-01	1.04E+00
192.0 	1.05E-03	6.66E-05	2.02E-04	7.72E-01	2.23E-01	1.12E+00
194.0 	1.01E-03	6.32E-05	1.94E-04	7.61E-01	2.34E-01	1.20E+00
195.0 	9.94E-04	6.17E-05	1.91E-04	7.57E-01	2.39E-01	1.24E+00
196.0 	9.78E-04	6.02E-05	1.87E-04	7.53E-01	2.43E-01	1.28E+00
198.0 	9.50E-04	5.75E-05	1.81E-04	7.46E-01	2.50E-01	1.35E+00
200.0 	9.26E-04	5.51E-05	1.75E-04	7.41E-01	2.55E-01	1.43E+00
202.0 	9.04E-04	5.29E-05	1.70E-04	7.36E-01	2.60E-01	1.51E+00
204.0 	8.84E-04	5.08E-05	1.65E-04	7.32E-01	2.65E-01	1.59E+00
206.0 	8.66E-04	4.89E-05	1.61E-04	7.28E-01	2.68E-01	1.68E+00
208.0 	8.50E-04	4.71E-05	1.56E-04	7.25E-01	2.71E-01	1.76E+00
210.0 	8.36E-04	4.54E-05	1.52E-04	7.23E-01	2.74E-01	1.85E+00
212.0 	8.22E-04	4.39E-05	1.48E-04	7.20E-01	2.76E-01	1.93E+00
214.0 	8.10E-04	4.24E-05	1.45E-04	7.18E-01	2.78E-01	2.02E+00
216.0 	7.98E-04	4.10E-05	1.41E-04	7.17E-01	2.80E-01	2.12E+00
218.0 	7.87E-04	3.96E-05	1.38E-04	7.15E-01	2.82E-01	2.21E+00
220.0 	7.77E-04	3.84E-05	1.34E-04	7.14E-01	2.84E-01	2.31E+00
222.0 	7.68E-04	3.72E-05	1.31E-04	7.12E-01	2.85E-01	2.40E+00
224.0 	7.59E-04	3.60E-05	1.28E-04	7.11E-01	2.86E-01	2.50E+00
226.0 	7.50E-04	3.49E-05	1.25E-04	7.10E-01	2.87E-01	2.61E+00
228.0 	7.43E-04	3.39E-05	1.22E-04	7.09E-01	2.88E-01	2.71E+00
230.0 	7.35E-04	3.28E-05	1.19E-04	7.08E-01	2.89E-01	2.82E+00
232.0 	7.29E-04	3.19E-05	1.17E-04	7.07E-01	2.90E-01	2.93E+00
234.0 	7.22E-04	3.09E-05	1.14E-04	7.06E-01	2.91E-01	3.04E+00
236.0 	7.16E-04	3.01E-05	1.11E-04	7.06E-01	2.92E-01	3.16E+00
238.0 	7.10E-04	2.92E-05	1.09E-04	7.05E-01	2.93E-01	3.27E+00
240.0 	7.05E-04	2.84E-05	1.07E-04	7.04E-01	2.94E-01	3.40E+00
242.0 	7.00E-04	2.76E-05	1.04E-04	7.04E-01	2.94E-01	3.52E+00
244.0 	6.95E-04	2.68E-05	1.02E-04	7.03E-01	2.95E-01	3.64E+00
246.0 	6.90E-04	2.61E-05	9.96E-05	7.02E-01	2.96E-01	3.77E+00
248.0 	6.86E-04	2.54E-05	9.75E-05	7.02E-01	2.96E-01	3.91E+00
250.0 	6.82E-04	2.47E-05	9.54E-05	7.01E-01	2.97E-01	4.04E+00
252.0 	6.78E-04	2.41E-05	9.33E-05	7.01E-01	2.97E-01	4.18E+00
254.0 	6.75E-04	2.34E-05	9.13E-05	7.00E-01	2.98E-01	4.32E+00
256.0 	6.72E-04	2.28E-05	8.94E-05	7.00E-01	2.98E-01	4.46E+00
258.0 	6.69E-04	2.22E-05	8.75E-05	6.99E-01	2.99E-01	4.61E+00
260.0 	6.66E-04	2.16E-05	8.57E-05	6.99E-01	2.99E-01	4.76E+00
262.0 	6.63E-04	2.11E-05	8.39E-05	6.98E-01	3.00E-01	4.91E+00
264.0 	6.61E-04	2.06E-05	8.21E-05	6.98E-01	3.00E-01	5.07E+00
266.0 	6.59E-04	2.01E-05	8.05E-05	6.98E-01	3.01E-01	5.23E+00
268.0 	6.57E-04	1.96E-05	7.88E-05	6.97E-01	3.01E-01	5.39E+00
270.0 	6.55E-04	1.91E-05	7.72E-05	6.97E-01	3.02E-01	5.55E+00
272.0 	6.54E-04	1.86E-05	7.56E-05	6.96E-01	3.02E-01	5.72E+00
274.0 	6.52E-04	1.82E-05	7.41E-05	6.96E-01	3.02E-01	5.89E+00
276.0 	6.51E-04	1.77E-05	7.26E-05	6.96E-01	3.03E-01	6.07E+00
278.0 	6.50E-04	1.73E-05	7.12E-05	6.95E-01	3.03E-01	6.25E+00
280.0 	6.50E-04	1.69E-05	6.98E-05	6.95E-01	3.04E-01	6.43E+00
282.0 	6.49E-04	1.65E-05	6.84E-05	6.95E-01	3.04E-01	6.61E+00
284.0 	6.49E-04	1.61E-05	6.71E-05	6.94E-01	3.04E-01	6.80E+00
286.0 	6.49E-04	1.57E-05	6.57E-05	6.94E-01	3.05E-01	6.99E+00
288.0 	6.49E-04	1.54E-05	6.45E-05	6.93E-01	3.05E-01	7.19E+00
290.0 	6.49E-04	1.50E-05	6.32E-05	6.93E-01	3.05E-01	7.39E+00
292.0 	6.49E-04	1.47E-05	6.20E-05	6.93E-01	3.06E-01	7.59E+00
294.0 	6.50E-04	1.44E-05	6.08E-05	6.93E-01	3.06E-01	7.79E+00
296.0 	6.51E-04	1.41E-05	5.97E-05	6.92E-01	3.06E-01	8.00E+00
298.0 	6.52E-04	1.37E-05	5.86E-05	6.92E-01	3.07E-01	8.22E+00
300.0 	6.53E-04	1.34E-05	5.75E-05	6.92E-01	3.07E-01	8.43E+00
305.0 	6.58E-04	1.27E-05	5.48E-05	6.91E-01	3.08E-01	8.99E+00
310.0 	6.64E-04	1.21E-05	5.24E-05	6.90E-01	3.08E-01	9.57E+00
315.0 	6.71E-04	1.14E-05	5.00E-05	6.90E-01	3.09E-01	1.02E+01
320.0 	6.80E-04	1.09E-05	4.78E-05	6.89E-01	3.09E-01	1.08E+01
325.0 	6.93E-04	1.03E-05	4.58E-05	6.88E-01	3.10E-01	1.14E+01
330.0 	7.07E-04	9.83E-06	4.38E-05	6.88E-01	3.10E-01	1.21E+01
335.0 	7.26E-04	9.37E-06	4.21E-05	6.87E-01	3.11E-01	1.28E+01
340.0 	7.50E-04	8.91E-06	4.03E-05	6.87E-01	3.11E-01	1.35E+01
345.0 	7.83E-04	8.44E-06	3.88E-05	6.85E-01	3.11E-01	1.42E+01
350.0 	8.14E-04	7.73E-06	3.65E-05	6.76E-01	3.07E-01	1.52E+01
360.0 	8.51E-04	6.25E-06	3.17E-05	6.51E-01	2.97E-01	1.76E+01
370.0 	8.64E-04	5.03E-06	2.76E-05	6.28E-01	2.87E-01	2.02E+01
380.0 	8.61E-04	4.06E-06	2.42E-05	6.09E-01	2.80E-01	2.31E+01
390.0 	8.50E-04	3.27E-06	2.14E-05	5.94E-01	2.74E-01	2.61E+01
400.0 	8.32E-04	2.65E-06	1.90E-05	5.82E-01	2.69E-01	2.92E+01
420.0 	7.89E-04	1.74E-06	1.53E-05	5.65E-01	2.63E-01	3.59E+01
440.0 	7.42E-04	1.15E-06	1.26E-05	5.55E-01	2.60E-01	4.30E+01
450.0 	7.18E-04	9.28E-07	1.15E-05	5.51E-01	2.59E-01	4.68E+01
460.0 	6.94E-04	7.50E-07	1.05E-05	5.49E-01	2.59E-01	5.08E+01
480.0 	6.47E-04	4.86E-07	8.88E-06	5.46E-01	2.60E-01	5.91E+01
500.0 	6.04E-04	3.11E-07	7.59E-06	5.46E-01	2.61E-01	6.80E+01
520.0 	5.62E-04	1.96E-07	6.54E-06	5.47E-01	2.63E-01	7.75E+01
540.0 	5.24E-04	1.24E-07	5.67E-06	5.49E-01	2.65E-01	8.77E+01
550.0 	5.06E-04	9.89E-08	5.30E-06	5.50E-01	2.66E-01	9.30E+01
560.0 	4.88E-04	8.10E-08	4.96E-06	5.52E-01	2.67E-01	9.86E+01
